iter	Passed	Remaining
0	2	252
1	4	216
2	6	209
3	8	194
4	9	187
5	11	185
6	13	183
7	16	184
8	18	183
9	20	181
10	22	179
11	24	178
12	26	175
13	28	173
14	30	172
15	32	170
16	34	169
17	36	167
18	38	165
19	40	163
20	42	161
21	44	159
22	47	157
23	48	154
24	50	152
25	52	149
26	55	149
27	57	147
28	58	144
29	61	142
30	63	140
31	65	138
32	66	135
33	68	133
34	70	131
35	72	129
36	74	126
37	76	124
38	78	122
39	79	119
40	81	117
41	82	114
42	84	111
43	86	109
44	88	107
45	90	106
46	92	104
47	94	102
48	96	100
49	98	98
50	100	96
51	102	94
52	104	92
53	106	90
54	107	87
55	109	85
56	110	83
57	112	81
58	114	79
59	116	77
60	118	75
61	120	73
62	122	71
63	124	69
64	126	67
65	128	65
66	129	63
67	131	61
68	133	59
69	135	57
70	136	55
71	138	54
72	140	52
73	142	50
74	144	48
75	145	46
76	147	44
77	149	42
78	150	40
79	152	38
80	153	36
81	155	34
82	157	32
83	159	30
84	161	28
85	163	26
86	164	24
87	166	22
88	168	20
89	169	18
90	171	16
91	173	15
92	175	13
93	176	11
94	178	9
95	180	7
96	182	5
97	184	3
98	186	1
99	187	0
