iter	Passed	Remaining
0	126	126824
1	128	64232
2	130	43479
3	132	33079
4	134	26857
5	136	22692
6	139	19720
7	140	17451
8	142	15696
9	144	14294
10	146	13170
11	149	12291
12	151	11485
13	153	10804
14	155	10188
15	156	9645
16	159	9202
17	161	8795
18	163	8426
19	165	8091
20	167	7814
21	169	7547
22	171	7290
23	173	7063
24	175	6861
25	177	6659
26	179	6481
27	181	6308
28	183	6134
29	184	5981
30	187	5849
31	189	5726
32	191	5607
33	193	5484
34	194	5369
35	196	5261
36	198	5159
37	200	5065
38	202	4981
39	204	4904
40	206	4828
41	208	4764
42	210	4693
43	212	4621
44	214	4550
45	216	4493
46	218	4432
47	220	4372
48	222	4316
49	224	4257
50	225	4200
51	227	4148
52	229	4097
53	231	4052
54	233	4011
55	235	3970
56	237	3924
57	239	3881
58	240	3839
59	242	3799
60	244	3760
61	246	3725
62	248	3692
63	250	3662
64	252	3627
65	253	3594
66	255	3562
67	257	3530
68	259	3501
69	261	3475
70	263	3451
71	265	3426
72	267	3401
73	270	3379
74	271	3353
75	273	3327
76	275	3303
77	277	3284
78	280	3265
79	282	3243
80	283	3219
81	285	3196
82	286	3164
83	288	3143
84	289	3121
85	292	3104
86	294	3089
87	296	3070
88	298	3050
89	299	3031
90	301	3010
91	302	2989
92	304	2970
93	306	2955
94	308	2941
95	310	2924
96	312	2905
97	313	2887
98	315	2871
99	317	2856
100	319	2840
101	321	2828
102	323	2817
103	325	2807
104	327	2791
105	329	2777
106	331	2765
107	333	2751
108	334	2737
109	337	2730
110	339	2719
111	341	2705
112	342	2691
113	344	2680
114	346	2670
115	348	2659
116	350	2646
117	352	2637
118	355	2629
119	357	2619
120	359	2612
121	361	2599
122	362	2587
123	364	2577
124	366	2568
125	369	2561
126	371	2551
127	373	2542
128	375	2533
129	377	2523
130	378	2513
131	381	2506
132	383	2497
133	385	2488
134	387	2480
135	389	2471
136	390	2462
137	392	2453
138	394	2445
139	396	2438
140	398	2430
141	400	2418
142	402	2411
143	404	2403
144	406	2394
145	407	2385
146	409	2376
147	411	2369
148	414	2364
149	415	2356
150	417	2346
151	419	2339
152	420	2330
153	422	2321
154	424	2311
155	426	2306
156	428	2299
157	430	2294
158	432	2287
159	434	2280
160	435	2269
161	437	2262
162	438	2253
163	440	2247
164	443	2242
165	445	2235
166	446	2229
167	448	2221
168	450	2213
169	451	2206
170	453	2199
171	455	2194
172	458	2189
173	460	2184
174	461	2177
175	464	2172
176	465	2166
177	467	2159
178	469	2152
179	471	2146
180	473	2142
181	475	2138
182	477	2133
183	479	2126
184	481	2120
185	482	2113
186	484	2107
187	486	2102
188	488	2098
189	491	2093
190	493	2088
191	495	2084
192	497	2080
193	499	2075
194	501	2072
195	504	2068
196	506	2063
197	508	2058
198	510	2053
199	512	2048
200	513	2042
201	515	2038
202	518	2034
203	520	2030
204	522	2026
205	524	2022
206	526	2017
207	528	2013
208	531	2011
209	533	2006
210	535	2002
211	537	1998
212	539	1994
213	541	1988
214	543	1983
215	545	1978
216	547	1974
217	549	1970
218	551	1965
219	553	1960
220	555	1956
221	557	1952
222	559	1948
223	561	1944
224	563	1940
225	565	1936
226	567	1932
227	569	1928
228	571	1923
229	572	1918
230	574	1914
231	577	1910
232	579	1907
233	581	1904
234	583	1900
235	585	1895
236	587	1890
237	588	1884
238	590	1880
239	592	1876
240	594	1872
241	596	1868
242	598	1864
243	600	1860
244	602	1855
245	603	1850
246	605	1847
247	607	1842
248	609	1838
249	611	1834
250	613	1830
251	615	1826
252	617	1821
253	618	1817
254	620	1814
255	622	1810
256	625	1807
257	627	1803
258	629	1800
259	630	1795
260	632	1791
261	634	1787
262	636	1784
263	638	1781
264	640	1777
265	642	1772
266	644	1769
267	646	1764
268	647	1760
269	649	1756
270	651	1753
271	653	1750
272	656	1747
273	657	1743
274	659	1738
275	661	1735
276	663	1731
277	665	1728
278	667	1724
279	669	1720
280	671	1717
281	672	1713
282	674	1709
283	676	1704
284	677	1700
285	679	1696
286	681	1693
287	683	1690
288	685	1687
289	687	1683
290	689	1679
291	690	1675
292	693	1672
293	695	1669
294	697	1666
295	699	1662
296	701	1659
297	702	1655
298	705	1652
299	707	1650
300	709	1646
301	711	1643
302	712	1639
303	714	1636
304	716	1632
305	718	1629
306	720	1625
307	722	1622
308	724	1619
309	726	1616
310	728	1614
311	730	1611
312	733	1609
313	735	1606
314	736	1602
315	738	1599
316	741	1597
317	743	1593
318	745	1590
319	747	1587
320	749	1584
321	751	1581
322	753	1578
323	755	1575
324	757	1573
325	759	1570
326	761	1567
327	763	1563
328	765	1560
329	766	1557
330	768	1553
331	770	1551
332	772	1548
333	775	1545
334	777	1542
335	778	1539
336	780	1536
337	782	1532
338	785	1530
339	787	1528
340	789	1525
341	790	1521
342	792	1518
343	794	1514
344	796	1511
345	798	1508
346	800	1505
347	802	1502
348	804	1500
349	806	1496
350	807	1493
351	809	1490
352	811	1487
353	813	1484
354	815	1482
355	817	1479
356	820	1477
357	822	1474
358	824	1471
359	825	1468
360	827	1465
361	829	1462
362	831	1459
363	834	1457
364	835	1454
365	837	1451
366	839	1448
367	841	1445
368	843	1442
369	845	1440
370	848	1437
371	850	1435
372	852	1433
373	854	1430
374	856	1427
375	858	1424
376	861	1423
377	863	1420
378	865	1418
379	867	1415
380	869	1412
381	871	1409
382	873	1407
383	875	1404
384	878	1402
385	880	1400
386	882	1397
387	884	1394
388	885	1391
389	887	1388
390	889	1385
391	891	1383
392	893	1380
393	896	1378
394	898	1375
395	899	1372
396	901	1369
397	903	1367
398	906	1365
399	908	1362
400	910	1359
401	912	1356
402	914	1354
403	916	1351
404	918	1348
405	920	1346
406	922	1344
407	924	1340
408	926	1338
409	928	1335
410	930	1333
411	932	1330
412	934	1328
413	936	1325
414	938	1322
415	940	1319
416	942	1317
417	943	1314
418	945	1311
419	947	1308
420	949	1306
421	951	1303
422	953	1300
423	955	1298
424	957	1295
425	959	1292
426	961	1290
427	963	1287
428	965	1285
429	967	1282
430	969	1280
431	971	1277
432	973	1274
433	975	1272
434	977	1269
435	979	1267
436	981	1264
437	983	1261
438	985	1259
439	987	1256
440	989	1254
441	991	1252
442	994	1249
443	996	1247
444	998	1245
445	1000	1242
446	1002	1240
447	1004	1237
448	1006	1235
449	1009	1233
450	1012	1232
451	1014	1229
452	1016	1227
453	1019	1225
454	1021	1223
455	1024	1222
456	1026	1219
457	1029	1217
458	1031	1215
459	1033	1213
460	1035	1210
461	1037	1208
462	1040	1206
463	1042	1203
464	1044	1201
465	1046	1198
466	1048	1196
467	1050	1193
468	1052	1191
469	1054	1188
470	1056	1186
471	1058	1183
472	1060	1181
473	1061	1178
474	1063	1175
475	1065	1172
476	1067	1170
477	1069	1168
478	1072	1166
479	1074	1163
480	1075	1160
481	1077	1158
482	1080	1156
483	1082	1154
484	1085	1152
485	1087	1150
486	1089	1147
487	1091	1145
488	1093	1142
489	1095	1140
490	1098	1138
491	1100	1136
492	1102	1133
493	1104	1131
494	1107	1129
495	1109	1127
496	1112	1125
497	1115	1124
498	1117	1122
499	1119	1119
500	1122	1117
501	1124	1115
502	1127	1113
503	1129	1111
504	1131	1109
505	1133	1106
506	1134	1103
507	1136	1100
508	1138	1097
509	1140	1095
510	1142	1093
511	1144	1090
512	1146	1088
513	1148	1085
514	1149	1082
515	1151	1080
516	1153	1077
517	1155	1074
518	1157	1072
519	1158	1069
520	1160	1067
521	1162	1064
522	1164	1061
523	1165	1058
524	1167	1056
525	1170	1054
526	1172	1052
527	1174	1049
528	1176	1047
529	1178	1044
530	1179	1042
531	1181	1039
532	1183	1037
533	1185	1034
534	1187	1032
535	1189	1029
536	1191	1027
537	1193	1024
538	1195	1022
539	1196	1019
540	1199	1017
541	1201	1015
542	1204	1013
543	1206	1011
544	1208	1008
545	1210	1006
546	1212	1004
547	1214	1002
548	1217	999
549	1219	997
550	1221	995
551	1223	992
552	1225	990
553	1227	988
554	1229	985
555	1231	983
556	1233	981
557	1235	978
558	1238	976
559	1240	974
560	1242	972
561	1244	969
562	1247	968
563	1249	965
564	1251	963
565	1253	961
566	1255	959
567	1257	956
568	1259	954
569	1262	952
570	1264	950
571	1266	947
572	1268	945
573	1270	942
574	1272	940
575	1275	938
576	1278	936
577	1279	934
578	1281	931
579	1283	929
580	1285	927
581	1287	924
582	1289	922
